Group,File,Solver,Number of Recursive Calls,Decision Steps
uf20,test/uf20-01000.cnf,DPLL,157,78
uf20,test/uf20-0999.cnf,DPLL,157,78
uf20,test/uf20-0998.cnf,DPLL,169,84
uf20,test/uf20-0997.cnf,DPLL,117,58
uf20,test/uf20-0996.cnf,DPLL,191,95
uf20,test/uf20-0995.cnf,DPLL,165,82
uf20,test/uf20-0994.cnf,DPLL,141,70
uf20,test/uf20-0993.cnf,DPLL,221,110
uf20,test/uf20-0992.cnf,DPLL,63,31
uf20,test/uf20-0991.cnf,DPLL,163,81
uf20,test/uf20-0990.cnf,DPLL,141,70
uf20,test/uf20-0989.cnf,DPLL,109,54
uf20,test/uf20-0988.cnf,DPLL,173,86
uf20,test/uf20-0987.cnf,DPLL,233,116
uf20,test/uf20-0986.cnf,DPLL,203,101
uf20,test/uf20-0985.cnf,DPLL,159,79
uf20,test/uf20-0984.cnf,DPLL,199,99
uf20,test/uf20-0983.cnf,DPLL,99,49
uf20,test/uf20-0982.cnf,DPLL,143,71
uf20,test/uf20-0981.cnf,DPLL,171,85
uf20,test/uf20-0980.cnf,DPLL,181,90
uf20,test/uf20-0979.cnf,DPLL,139,69
uf20,test/uf20-0978.cnf,DPLL,155,77
uf20,test/uf20-0977.cnf,DPLL,215,107
uf20,test/uf20-0976.cnf,DPLL,125,62
uf20,test/uf20-0975.cnf,DPLL,97,48
uf20,test/uf20-0974.cnf,DPLL,129,64
uf20,test/uf20-0973.cnf,DPLL,229,114
uf20,test/uf20-0972.cnf,DPLL,181,90
uf20,test/uf20-0971.cnf,DPLL,91,45
uf20,test/uf20-0970.cnf,DPLL,203,101
uf20,test/uf20-0969.cnf,DPLL,181,90
uf20,test/uf20-0968.cnf,DPLL,125,62
uf20,test/uf20-0967.cnf,DPLL,149,74
uf20,test/uf20-0966.cnf,DPLL,197,98
uf20,test/uf20-0965.cnf,DPLL,221,110
uf20,test/uf20-0964.cnf,DPLL,179,89
uf20,test/uf20-0963.cnf,DPLL,307,153
uf20,test/uf20-0962.cnf,DPLL,119,59
uf20,test/uf20-0961.cnf,DPLL,263,131
uf20,test/uf20-0960.cnf,DPLL,139,69
uf20,test/uf20-0959.cnf,DPLL,241,120
uf20,test/uf20-0958.cnf,DPLL,187,93
uf20,test/uf20-0957.cnf,DPLL,185,92
uf20,test/uf20-0956.cnf,DPLL,113,56
uf20,test/uf20-0955.cnf,DPLL,119,59
uf20,test/uf20-0954.cnf,DPLL,125,62
uf20,test/uf20-0953.cnf,DPLL,253,126
uf20,test/uf20-0952.cnf,DPLL,149,74
uf20,test/uf20-0951.cnf,DPLL,155,77
uf20,test/uf20-0950.cnf,DPLL,131,65
uf20,test/uf20-0949.cnf,DPLL,179,89
uf20,test/uf20-0948.cnf,DPLL,83,41
uf20,test/uf20-0947.cnf,DPLL,193,96
uf20,test/uf20-0946.cnf,DPLL,257,128
uf20,test/uf20-0945.cnf,DPLL,127,63
uf20,test/uf20-0944.cnf,DPLL,69,34
uf20,test/uf20-0943.cnf,DPLL,139,69
uf20,test/uf20-0942.cnf,DPLL,163,81
uf20,test/uf20-0941.cnf,DPLL,255,127
uf20,test/uf20-0940.cnf,DPLL,137,68
uf20,test/uf20-0939.cnf,DPLL,217,108
uf20,test/uf20-0938.cnf,DPLL,167,83
uf20,test/uf20-0937.cnf,DPLL,99,49
uf20,test/uf20-0936.cnf,DPLL,161,80
uf20,test/uf20-0935.cnf,DPLL,265,132
uf20,test/uf20-0934.cnf,DPLL,137,68
uf20,test/uf20-0933.cnf,DPLL,91,45
uf20,test/uf20-0932.cnf,DPLL,149,74
uf20,test/uf20-0931.cnf,DPLL,117,58
uf20,test/uf20-0930.cnf,DPLL,209,104
uf20,test/uf20-0929.cnf,DPLL,171,85
uf20,test/uf20-0928.cnf,DPLL,121,60
uf20,test/uf20-0927.cnf,DPLL,95,47
uf20,test/uf20-0926.cnf,DPLL,101,50
uf20,test/uf20-0925.cnf,DPLL,225,112
uf20,test/uf20-0924.cnf,DPLL,143,71
uf20,test/uf20-0923.cnf,DPLL,155,77
uf20,test/uf20-0922.cnf,DPLL,193,96
uf20,test/uf20-0921.cnf,DPLL,141,70
uf20,test/uf20-0920.cnf,DPLL,317,158
uf20,test/uf20-0919.cnf,DPLL,159,79
uf20,test/uf20-0918.cnf,DPLL,207,103
uf20,test/uf20-0917.cnf,DPLL,173,86
uf20,test/uf20-0916.cnf,DPLL,167,83
uf20,test/uf20-0915.cnf,DPLL,139,69
uf20,test/uf20-0914.cnf,DPLL,167,83
uf20,test/uf20-0913.cnf,DPLL,253,126
uf20,test/uf20-0912.cnf,DPLL,101,50
uf20,test/uf20-0911.cnf,DPLL,203,101
uf20,test/uf20-0910.cnf,DPLL,213,106
uf20,test/uf20-0909.cnf,DPLL,203,101
uf20,test/uf20-0908.cnf,DPLL,153,76
uf20,test/uf20-0907.cnf,DPLL,151,75
uf20,test/uf20-0906.cnf,DPLL,135,67
uf20,test/uf20-0905.cnf,DPLL,215,107
uf20,test/uf20-0904.cnf,DPLL,133,66
uf20,test/uf20-0903.cnf,DPLL,217,108
uf20,test/uf20-0902.cnf,DPLL,139,69
uf20,test/uf20-0901.cnf,DPLL,149,74
uf20,test/uf20-0900.cnf,DPLL,119,59
uf20,test/uf20-0899.cnf,DPLL,259,129
uf20,test/uf20-0898.cnf,DPLL,243,121
uf20,test/uf20-0897.cnf,DPLL,157,78
uf20,test/uf20-0896.cnf,DPLL,113,56
uf20,test/uf20-0895.cnf,DPLL,107,53
