Group,File,Solver,Result,Time,AllocBytes(KB),instances,clause-len,vars,clauses
uf20,test/uf20-01000.cnf,DPLL,True,0.004934800,18014398509481354.00,1000,3,20,91
uf20,test/uf20-0999.cnf,DPLL,True,0.003462800,3136.85,1000,3,20,91
uf20,test/uf20-0998.cnf,DPLL,True,0.003740000,3728.14,1000,3,20,91
uf20,test/uf20-0997.cnf,DPLL,True,0.004338900,2502.23,1000,3,20,91
uf20,test/uf20-0996.cnf,DPLL,True,0.005311100,2224.92,1000,3,20,91
uf20,test/uf20-0995.cnf,DPLL,True,0.004159200,218.02,1000,3,20,91
uf20,test/uf20-0994.cnf,DPLL,True,0.003616100,2889.16,1000,3,20,91
uf20,test/uf20-0993.cnf,DPLL,True,0.005718000,3866.15,1000,3,20,91
uf20,test/uf20-0992.cnf,DPLL,True,0.002183200,3860.86,1000,3,20,91
uf20,test/uf20-0991.cnf,DPLL,True,0.003761600,3372.92,1000,3,20,91
uf20,test/uf20-0990.cnf,DPLL,True,0.004264600,590.70,1000,3,20,91
uf20,test/uf20-0989.cnf,DPLL,True,0.003792800,2039.59,1000,3,20,91
uf20,test/uf20-0988.cnf,DPLL,True,0.004046600,3952.55,1000,3,20,91
uf20,test/uf20-0987.cnf,DPLL,True,0.005608700,3301.97,1000,3,20,91
uf20,test/uf20-0986.cnf,DPLL,True,0.006572800,2482.85,1000,3,20,91
uf20,test/uf20-0985.cnf,DPLL,True,0.004609900,1145.41,1000,3,20,91
uf20,test/uf20-0984.cnf,DPLL,True,0.005750000,130.44,1000,3,20,91
uf20,test/uf20-0983.cnf,DPLL,True,0.003494600,1583.20,1000,3,20,91
uf20,test/uf20-0982.cnf,DPLL,True,0.004094600,115.99,1000,3,20,91
uf20,test/uf20-0981.cnf,DPLL,True,0.004558400,805.51,1000,3,20,91
uf20,test/uf20-0980.cnf,DPLL,True,0.005058100,2683.06,1000,3,20,91
uf20,test/uf20-0979.cnf,DPLL,True,0.004307400,28.09,1000,3,20,91
uf20,test/uf20-0978.cnf,DPLL,True,0.004520700,621.27,1000,3,20,91
uf20,test/uf20-0977.cnf,DPLL,True,0.004562400,609.00,1000,3,20,91
uf20,test/uf20-0976.cnf,DPLL,True,0.004212400,3356.64,1000,3,20,91
uf20,test/uf20-0975.cnf,DPLL,True,0.003211300,1240.97,1000,3,20,91
uf20,test/uf20-0974.cnf,DPLL,True,0.003574800,3752.94,1000,3,20,91
uf20,test/uf20-0973.cnf,DPLL,True,0.005369100,3208.45,1000,3,20,91
uf20,test/uf20-0972.cnf,DPLL,True,0.004612300,1455.89,1000,3,20,91
uf20,test/uf20-0971.cnf,DPLL,True,0.003217700,1523.09,1000,3,20,91
uf20,test/uf20-0970.cnf,DPLL,True,0.005697200,3531.56,1000,3,20,91
uf20,test/uf20-0969.cnf,DPLL,True,0.004750700,1150.34,1000,3,20,91
uf20,test/uf20-0968.cnf,DPLL,True,0.003384700,3179.66,1000,3,20,91
uf20,test/uf20-0967.cnf,DPLL,True,0.004100000,3948.64,1000,3,20,91
uf20,test/uf20-0966.cnf,DPLL,True,0.006078900,2199.68,1000,3,20,91
uf20,test/uf20-0965.cnf,DPLL,True,0.005066400,1694.59,1000,3,20,91
uf20,test/uf20-0964.cnf,DPLL,True,0.004615700,1196.41,1000,3,20,91
